
 Property  job 7 : Binary mixture ;
 Compounds job 7 : difluoromethane (1) ; $MIX1 (2) ;
 Settings  job 7 : T= 303.15 K ;
 Units     job 7 : Energies in kcal/mol ; Pressure in mbar ; Area in A^2 ; Temperature in K ; Molecular weights in a.m.u. ; Concentrations x : mole fraction ;
 General   job 7 : Molecular weights 52.0235 (1) 216.8573 (2) ; Surface areas 73.1015 (1) 199.3313 (2) ; $MIX1 : x(8)= 0.2500 x(9)= 0.2500 x(10)= 0.5000 ;
 
          x1          x2             H^E             G^E            ptot    mu1+RTln(x1)    mu2+RTln(x2)      ln(gamma1)      ln(gamma2)          y1          y2
 0.000000000 1.000000000      0.00000000      0.00000000      0.00362948              NA      3.15441754     -0.52075924      0.00000000 0.000000000 1.000000000
 0.003333333 0.996666667     -0.00245612     -0.00104383     38.26156783      1.70197707      3.15240162     -0.51758380     -0.00000746 0.999905457 0.000094543
 0.006666667 0.993333333     -0.00489544     -0.00208125     76.76286599      2.12145629      3.15037254     -0.51440833     -0.00002559 0.999953035 0.000046965
 0.010000000 0.990000000     -0.00731792     -0.00311224    115.50868127      2.36762984      3.14833021     -0.51123289     -0.00005443 0.999968894 0.000031106
 0.013333333 0.986666667     -0.00972351     -0.00413678    154.50016723      2.54284839      3.14627455     -0.50805755     -0.00009408 0.999976824 0.000023176
 0.016666667 0.983333333     -0.01211218     -0.00515485    193.73847339      2.67918751      3.14420547     -0.50488235     -0.00014460 0.999981581 0.000018419
 0.020000000 0.980000000     -0.01448387     -0.00616643    233.22474508      2.79093449      3.14212287     -0.50170735     -0.00020606 0.999984752 0.000015248
 0.023333333 0.976666667     -0.01683855     -0.00717150    272.96012311      2.88571059      3.14002667     -0.49853261     -0.00027854 0.999987017 0.000012983
 0.026666667 0.973333333     -0.01917616     -0.00817003    312.94574363      2.96806501      3.13791677     -0.49535818     -0.00036210 0.999988716 0.000011284
 0.030000000 0.970000000     -0.02149667     -0.00916200    353.18273784      3.04093207      3.13579308     -0.49218414     -0.00045682 0.999990036 0.000009964
 0.033333333 0.966666667     -0.02380004     -0.01014739    393.67223176      3.10631529      3.13365552     -0.48901053     -0.00056277 0.999991093 0.000008907
 0.036666667 0.963333333     -0.02608622     -0.01112618    434.41534596      3.16564367      3.13150398     -0.48583741     -0.00068002 0.999991957 0.000008043
 0.040000000 0.960000000     -0.02835516     -0.01209835    475.41319537      3.21997234      3.12933837     -0.48266485     -0.00080865 0.999992677 0.000007323
 0.043333333 0.956666667     -0.03060684     -0.01306388    516.66688895      3.27010258      3.12715861     -0.47949291     -0.00094872 0.999993286 0.000006714
 0.046666667 0.953333333     -0.03284119     -0.01402274    558.17752949      3.31665719      3.12496459     -0.47632165     -0.00110032 0.999993808 0.000006192
 0.050000000 0.950000000     -0.03505819     -0.01497491    599.94621331      3.36012992      3.12275623     -0.47315112     -0.00126351 0.999994260 0.000005740
 0.053333333 0.946666667     -0.03725779     -0.01592037    641.97403003      3.40091877      3.12053342     -0.46998141     -0.00143836 0.999994656 0.000005344
 0.056666667 0.943333333     -0.03943995     -0.01685910    684.26206224      3.43934929      3.11829607     -0.46681255     -0.00162495 0.999995004 0.000004996
 0.060000000 0.940000000     -0.04160463     -0.01779107    726.81138531      3.47569112      3.11604408     -0.46364463     -0.00182336 0.999995314 0.000004686
