
 Property  job 1 : Binary mixture ;
 Compounds job 1 : difluoromethane (1) ; $MIX1 (2) ;
 Settings  job 1 : T= 293.15 K ;
 Units     job 1 : Energies in kJ/mol ; Pressure in kPa ; Area in nm^2 ; Temperature in K ; Molecular weights in g/mol ; Concentrations x : mole fraction ;
 General   job 1 : Molecular weights 52.0235 (1) 291.4446 (2) ; Surface areas 0.7310 (1) 2.2110 (2) ; $MIX1 : x(1)= 0.3333 x(2)= 0.3333 x(3)= 0.3333 ;
 
          x1          x2             H^E             G^E            ptot    mu1+RTln(x1)    mu2+RTln(x2)      ln(gamma1)      ln(gamma2)          y1          y2
 0.000000000 1.000000000      0.00000000      0.00000000      0.02217755              NA     15.55021428     -0.24011763      0.00000000 0.000000000 1.000000000
 0.004016064 0.995983936      0.00035290     -0.00233366      4.68169936      7.96427024     15.54041024     -0.23884774      0.00000179 0.995281942 0.004718058
 0.008032129 0.991967871      0.00071717     -0.00465487      9.35307308      9.65683388     15.53055408     -0.23757677     -0.00000155 0.997647897 0.002352103
 0.012048193 0.987951807      0.00109281     -0.00696355     14.03633647     10.64820850     15.52064536     -0.23630471     -0.00001005 0.998439042 0.001560958
 0.016064257 0.983935743      0.00147982     -0.00925965     18.73152719     11.35250325     15.51068363     -0.23503159     -0.00002379 0.998835078 0.001164922
 0.020080321 0.979919679      0.00187821     -0.01154311     23.43868279     11.89949542     15.50066843     -0.23375740     -0.00004280 0.999072845 0.000927155
 0.024096386 0.975903614      0.00228798     -0.01381386     28.15784073     12.34699127     15.49059931     -0.23248218     -0.00006713 0.999231415 0.000768585
 0.028112450 0.971887550      0.00270915     -0.01607184     32.88903837     12.72582641     15.48047580     -0.23120591     -0.00009685 0.999344706 0.000655294
 0.032128514 0.967871486      0.00314170     -0.01831699     37.63231292     13.05440691     15.47029743     -0.22992862     -0.00013200 0.999429687 0.000570313
 0.036144578 0.963855422      0.00358565     -0.02054925     42.38770152     13.34460509     15.46006372     -0.22865033     -0.00017263 0.999495791 0.000504209
 0.040160643 0.959839357      0.00404100     -0.02276855     47.15524113     13.60452725     15.44977419     -0.22737103     -0.00021881 0.999548677 0.000451323
 0.044176707 0.955823293      0.00450775     -0.02497482     51.93496861     13.83995529     15.43942836     -0.22609075     -0.00027058 0.999591950 0.000408050
 0.048192771 0.951807229      0.00498589     -0.02716801     56.72692066     14.05515833     15.42902572     -0.22480949     -0.00032799 0.999628010 0.000371990
 0.052208835 0.947791165      0.00547543     -0.02934804     61.53113386     14.25337839     15.41856579     -0.22352728     -0.00039112 0.999658523 0.000341477
 0.056224900 0.943775100      0.00597637     -0.03151485     66.34764461     14.43713552     15.40804806     -0.22224412     -0.00046000 0.999684676 0.000315324
 0.060240964 0.939759036      0.00648870     -0.03366839     71.17648916     14.60842747     15.39747201     -0.22096002     -0.00053470 0.999707341 0.000292659
 0.064257028 0.935742972      0.00701242     -0.03580857     76.01770359     14.76886470     15.38683714     -0.21967501     -0.00061527 0.999727172 0.000272828
 0.068273092 0.931726908      0.00754753     -0.03793533     80.87132380     14.91976446     15.37614291     -0.21838909     -0.00070177 0.999744669 0.000255331
 0.072289157 0.927710843      0.00809403     -0.04004861     85.73738551     15.06221791     15.36538880     -0.21710227     -0.00079426 0.999760221 0.000239779
 0.076305221 0.923694779      0.00865190     -0.04214834     90.61592426     15.19713908     15.35457428     -0.21581458     -0.00089280 0.999774135 0.000225865
 0.080321285 0.919678715      0.00922115     -0.04423446     95.50697538     15.32530123     15.34369879     -0.21452603     -0.00099744 0.999786655 0.000213345
 0.084337349 0.915662651      0.00980176     -0.04630688    100.41057400     15.44736436     15.33276180     -0.21323663     -0.00110825 0.999797983 0.000202017
 0.088353414 0.911646586      0.01039373     -0.04836555    105.32675503     15.56389629     15.32176274     -0.21194640     -0.00122529 0.999808279 0.000191721
 0.092369478 0.907630522      0.01099705     -0.05041039    110.25555317     15.67538908     15.31070106     -0.21065535     -0.00134862 0.999817679 0.000182321
 0.096385542 0.903614458      0.01161171     -0.05244133    115.19700287     15.78227194     15.29957618     -0.20936349     -0.00147829 0.999826294 0.000173706
 0.100401606 0.899598394      0.01223769     -0.05445831    120.15113837     15.88492147     15.28838753     -0.20807086     -0.00161437 0.999834220 0.000165780
 0.104417671 0.895582329      0.01287499     -0.05646125    125.11799363     15.98366993     15.27713452     -0.20677745     -0.00175693 0.999841534 0.000158466
 0.108433735 0.891566265      0.01352360     -0.05845009    130.09760238     16.07881196     15.26581657     -0.20548329     -0.00190602 0.999848305 0.000151695
 0.112449799 0.887550201      0.01418349     -0.06042475    135.08999807     16.17061003     15.25443308     -0.20418839     -0.00206172 0.999854592 0.000145408
 0.116465863 0.883534137      0.01485465     -0.06238515    140.09521388     16.25929896     15.24298344     -0.20289278     -0.00222407 0.999860444 0.000139556
